Region,Category,Year,Value,Year1,Value1,Year2,Value2,Year3,Value3,Year4,Value4,Year5,Value5,Year6,Value6,Year7,Value7,Year8,Value8,Year9,Value9
АТЫРАУСКАЯ ОБЛАСТЬ,сельская местность,2014,2084.0,2015,1946.0,2016,1840.0,2017,1355.0,2018,1542.0,2019,1470,2020,1832.0,2021,1702.0,2022,1758.0,2023,1642.0
МАНГИСТАУСКАЯ ОБЛАСТЬ,сельская местность,2014,2256.0,2015,2431.0,2016,2213.0,2017,2154.0,2018,2295.0,2019,2545,2020,2491.0,2021,3170.0,2022,2698.0,2023,2558.0
ЖАМБЫЛСКАЯ ОБЛАСТЬ,сельская местность,2014,5178.0,2015,4342.0,2016,4165.0,2017,3963.0,2018,3820.0,2019,3733,2020,3912.0,2021,3666.0,2022,3974.0,2023,3702.0
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,Всего,2014,6579.0,2015,5839.0,2016,5657.0,2017,5649.0,2018,5735.0,2019,5835,2020,5892.0,2021,5901.0,2022,5213.0,2023,4661.0
АЛМАТИНСКАЯ ОБЛАСТЬ,сельская местность,2014,12104.0,2015,11455.0,2016,10993.0,2017,10560.0,2018,9705.0,2019,9852,2020,9184.0,2021,9829.0,2022,8185.0,2023,8297.0
АТЫРАУСКАЯ ОБЛАСТЬ,городская местность,2014,3459.0,2015,3151.0,2016,3048.0,2017,3585.0,2018,3490.0,2019,3483,2020,3075.0,2021,3508.0,2022,2782.0,2023,2625.0
АТЫРАУСКАЯ ОБЛАСТЬ,Всего,2014,5543.0,2015,5097.0,2016,4888.0,2017,4940.0,2018,5032.0,2019,4953,2020,4907.0,2021,5210.0,2022,4540.0,2023,4267.0
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,сельская местность,2014,3266.0,2015,2963.0,2016,2840.0,2017,2889.0,2018,2860.0,2019,2988,2020,3018.0,2021,3066.0,2022,2489.0,2023,2353.0
МАНГИСТАУСКАЯ ОБЛАСТЬ,городская местность,2014,3772.0,2015,3375.0,2016,3363.0,2017,3373.0,2018,3253.0,2019,2845,2020,2535.0,2021,2470.0,2022,2447.0,2023,2450.0
МАНГИСТАУСКАЯ ОБЛАСТЬ,Всего,2014,6028.0,2015,5806.0,2016,5576.0,2017,5527.0,2018,5548.0,2019,5390,2020,5026.0,2021,5640.0,2022,5145.0,2023,5008.0
РЕСПУБЛИКА КАЗАХСТАН,городская местность,2014,105172.0,2015,98927.0,2016,94672.0,2017,97262.0,2018,95964.0,2019,98230,2020,88776.0,2021,99415.0,2022,85339.0,2023,80009.0
Г.АСТАНА,городская местность,2014,11399.0,2015,11213.0,2016,11299.0,2017,11471.0,2018,11404.0,2019,11316,2020,10597.0,2021,12247.0,2022,10669.0,2023,10392.0
Г.АСТАНА,Всего,2014,11399.0,2015,11213.0,2016,11299.0,2017,11471.0,2018,11404.0,2019,11316,2020,10597.0,2021,12247.0,2022,10669.0,2023,10392.0
